"space","start","end","width","names","peak","strand","feature","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_id","entrezgene"
"1",4807605,4807841,237,"0001 ENSMUSG00000025903","0001","+","ENSMUSG00000025903",4807788,4886770,"overlapStart",-183,53,"NearestStart","Lypla1","18777"
"1",7047342,7047542,201,"0002 ENSMUSG00000051285","0002","+","ENSMUSG00000051285",7088920,7173628,"upstream",-41578,41378,"NearestStart","Pcmtd1","319263"
"1",7088520,7088861,342,"0003 ENSMUSG00000051285","0003","+","ENSMUSG00000051285",7088920,7173628,"upstream",-400,59,"NearestStart","Pcmtd1","319263"
"1",12744546,12744943,398,"0007 ENSMUSG00000016918","0007","+","ENSMUSG00000016918",12692430,12860371,"inside",52116,52116,"NearestStart","Sulf1","240725"
"1",12836060,12836344,285,"0008 ENSMUSG00000016918","0008","+","ENSMUSG00000016918",12692430,12860371,"inside",143630,24027,"NearestStart","Sulf1","240725"
"1",13084796,13084996,201,"0009 ENSMUSG00000069620","0009","+","ENSMUSG00000069620",13062019,13062348,"downstream",22777,22448,"NearestStart","Gm5250","383490"
"1",16665170,16665370,201,"0012 ENSMUSG00000025940","0012","+","ENSMUSG00000025940",16665207,16678275,"overlapStart",-37,37,"NearestStart","Tmem70","70397"
"1",24678509,24678709,201,"0014 ENSMUSG00000073725","0014","+","ENSMUSG00000073725",24678544,24766299,"overlapStart",-35,35,"NearestStart","Lmbrd1","68421"
"1",33719917,33720246,330,"0015 ENSMUSG00000004768","0015","+","ENSMUSG00000004768",33719882,33742564,"inside",35,35,"NearestStart","Rab23","19335"
"1",35944305,35944689,385,"0017 ENSMUSG00000045216","0017","+","ENSMUSG00000045216",36068400,36106446,"upstream",-124095,123711,"NearestStart","Hs6st1","50785"
"1",36068121,36068415,295,"0018 ENSMUSG00000045216","0018","+","ENSMUSG00000045216",36068400,36106446,"overlapStart",-279,15,"NearestStart","Hs6st1","50785"
"1",36985910,36986290,381,"0023 ENSMUSG00000095944","0023","+","ENSMUSG00000095944",37005439,37005557,"upstream",-19529,19149,"NearestStart","n-R5s210",
"1",39193988,39194214,227,"0025 ENSMUSG00000026077","0025","+","ENSMUSG00000026077",39193731,39363234,"inside",257,257,"NearestStart","Npas2","18143"
"1",39900600,39900876,277,"0026 ENSMUSG00000026074","0026","+","ENSMUSG00000026074",39900913,40026310,"upstream",-313,37,"NearestStart","Map4k4","26921"
"1",40680213,40680413,201,"0027 ENSMUSG00000026062","0027","+","ENSMUSG00000026062",40681712,40768885,"upstream",-1499,1299,"NearestStart","Slc9a2","226999"
"1",42058591,42058791,201,"0028 ENSMUSG00000053640","0028","+","ENSMUSG00000053640",42229726,42231108,"upstream",-171135,170935,"NearestStart","Gm9915","791306"
"1",55087662,55088214,553,"0038 ENSMUSG00000073676","0038","+","ENSMUSG00000073676",55088132,55091307,"overlapStart",-470,82,"NearestStart","Hspe1","15528"
"1",59376106,59376784,679,"0039 ENSMUSG00000041075","0039","+","ENSMUSG00000041075",59482147,59486947,"upstream",-106041,105363,"NearestStart","Fzd7","14369"
"1",59423213,59423599,387,"0040 ENSMUSG00000041075","0040","+","ENSMUSG00000041075",59482147,59486947,"upstream",-58934,58548,"NearestStart","Fzd7","14369"
"1",60180245,60180717,473,"0041 ENSMUSG00000073664","0041","+","ENSMUSG00000073664",60180599,60338328,"overlapStart",-354,118,"NearestStart","Nbeal1","269198"
"1",60409496,60409807,312,"0042 ENSMUSG00000026782","0042","+","ENSMUSG00000026782",60409619,60481162,"overlapStart",-123,123,"NearestStart","Abi2","329165"
"1",62706563,62706951,389,"0044 ENSMUSG00000025969","0044","+","ENSMUSG00000025969",62703285,62818695,"inside",3278,3278,"NearestStart","Nrp2","18187"
"1",62767606,62767846,241,"0045 ENSMUSG00000025969","0045","+","ENSMUSG00000025969",62703285,62818695,"inside",64321,50849,"NearestStart","Nrp2","18187"
"1",66467951,66468186,236,"0047 ENSMUSG00000055567","0047","+","ENSMUSG00000055567",66468367,66699866,"upstream",-416,181,"NearestStart","Unc80","329178"
"1",71557072,71557353,282,"0048 ENSMUSG00000026192","0048","+","ENSMUSG00000026192",71557150,71579631,"overlapStart",-78,78,"NearestStart","Atic","108147"
"1",72229017,72229331,315,"0050 ENSMUSG00000094655","0050","+","ENSMUSG00000094655",72226240,72226430,"downstream",2777,2587,"NearestStart","Gm25360",
"1",72255217,72255433,217,"0051 ENSMUSG00000093843","0051","+","ENSMUSG00000093843",72255008,72255198,"downstream",209,19,"NearestStart","Gm25939",
"1",74391979,74392556,578,"0054 ENSMUSG00000026176","0054","+","ENSMUSG00000026176",74391509,74397285,"inside",470,470,"NearestStart","Ctdsp1","227292"
"1",74397301,74397584,284,"0055 ENSMUSG00000065468","0055","+","ENSMUSG00000065468",74394310,74394394,"downstream",2991,2907,"NearestStart","Mir26b","387219"
"1",74784128,74784579,452,"0056 ENSMUSG00000026167","0056","+","ENSMUSG00000026167",74791516,74804179,"upstream",-7388,6937,"NearestStart","Wnt10a","22409"
"1",74824839,74825334,496,"0057 ENSMUSG00000089964","0057","+","ENSMUSG00000089964",74850895,74879953,"upstream",-26056,25561,"NearestStart","Gm16582",
"1",75142671,75142871,201,"0058 ENSMUSG00000049339","0058","+","ENSMUSG00000049339",75142786,75147909,"overlapStart",-115,85,"NearestStart","Fam134a","227298"
"1",75443112,75443421,310,"0059 ENSMUSG00000033007","0059","+","ENSMUSG00000033007",75450436,75474343,"upstream",-7324,7015,"NearestStart","Asic4","241118"
"1",75492725,75492925,201,"0060 ENSMUSG00000051703","0060","+","ENSMUSG00000051703",75479532,75485705,"downstream",13193,7020,"NearestStart","Tmem198","319998"
"1",78310212,78310425,214,"0062 ENSMUSG00000032908","0062","+","ENSMUSG00000032908",78310346,78420286,"overlapStart",-134,79,"NearestStart","Sgpp2","433323"
"1",78657572,78658014,443,"0063 ENSMUSG00000032883","0063","+","ENSMUSG00000032883",78657825,78706987,"overlapStart",-253,189,"NearestStart","Acsl3","74205"
"1",82839554,82839827,274,"0065 ENSMUSG00000026159","0065","+","ENSMUSG00000026159",82839483,82896275,"inside",71,71,"NearestStart","Agfg1","15463"
"1",86309369,86309606,238,"0068 ENSMUSG00000079445","0068","+","ENSMUSG00000079445",86303221,86307303,"downstream",6148,2066,"NearestStart","B3gnt7","227327"
"1",86310938,86311314,377,"0069 ENSMUSG00000079445","0069","+","ENSMUSG00000079445",86303221,86307303,"downstream",7717,3635,"NearestStart","B3gnt7","227327"
